Lasagna;"1 pound sweet Italian sausage, ¾ pound lean ground beef, ½ cup minced onion, 2 cloves garlic, crushed, 1 (28 ounce) can crushed tomatoes, 2 (6 ounce) cans tomato paste, 2 (6.5 ounce) cans canned tomato sauce, ½ cup water, 2 tablespoons white sugar, 1 ½ teaspoons dried basil leaves, ½ teaspoon fennel seeds, 1 teaspoon Italian seasoning, 1 ½ teaspoons salt, divided, or to taste, ¼ teaspoon ground black pepper, 4 tablespoons chopped fresh parsley, 12 lasagna noodles, 16 ounces ricotta cheese, 1 egg, ¾ pound mozzarella cheese, sliced, ¾ cup grated Parmesan cheese"
Spaghetti bolognese;"1 tbsp olive oil, 4 rashers smoked streaky bacon (finely chopped), 2 medium onions, finely chopped, 2 carrots, trimmed and finely chopped, 2 celery sticks, finely chopped, 2 garlic cloves finely chopped, 2-3 sprigs rosemary leaves picked and finely chopped, 500g beef mince"
Spaghetti aglio e olio;"1 pound uncooked spaghetti, 6 cloves garlic, thinly sliced, ½ cup olive oil, ¼ teaspoon red pepper flakes, or to taste, salt and freshly ground black pepper to taste, ¼ cup chopped fresh Italian parsley, 1 cup finely grated Parmigiano-Reggiano cheese"
Chicken teryaky;"2 tbsp toasted sesame oil, 6 skinless and boneless chicken thighs, sliced, 2 large garlic cloves, crushed, 1 thumb-sized piece ginger, grated, 50g runny honey, 30ml light soy sauce, 1 tbsp rice wine vinegar, 1 tbsp sesame seeds , to serve, 4 spring onions, shredded, to serve, sticky rice, to serve, steamed bok choi or spring greens, to serve"
Indian butter chicken;"1 tablespoon peanut oil, 1 shallot, finely chopped, ¼ white onion, chopped, 2 tablespoons butter, 2 teaspoons lemon juice, 1 tablespoon ginger garlic paste, 1 teaspoon garam masala, 1 teaspoon chili powder, 1 teaspoon ground cumin, 1 bay leaf, ¼ cup plain yogurt, 1 cup half-and-half, 1 cup tomato puree, ¼ teaspoon cayenne pepper, or to taste, 1 pinch salt, 1 pinch black pepper, 1 tablespoon peanut oil, 1 pound boneless, skinless chicken thighs, cut into bite-size pieces, 1 teaspoon garam masala, 1 pinch cayenne pepper, 1 tablespoon cornstarch, ¼ cup water"
Chicken supreme;"1 tbsp olive oil, 1 tbsp butter, 1 small onion , thinly sliced, 50g smoked bacon lardons, 1 garlic clove , crushed, 2 skin-on chicken breasts, 1 tsp plain flour, 50ml white wine, 150ml double cream, ½ tbsp Dijon mustard, ½ small bunch of parsley , very finely chopped (optional), mashed potato and steamed green veg, to serve"
Beef Stroganoff;"1 tbsp olive oil, 1 onion, sliced, 1 clove of garlic, 1 tbsp butter, 250g mushrooms, sliced, 1 tbsp plain flour, 500g fillet steak, sliced, 150g crème fraîche, 1 tsp English mustard, 100ml beef stock, ½ small pack of parsley, chopped"
Tiramisu;"568ml pot double cream, 250g tub mascarpone, 75ml marsala, 5 tbsp golden caster sugar, 300ml strong coffee, made with 2 tbsp coffee granules and 300ml boiling water, 175g pack sponge fingers, 25g dark chocolate, 2 tsp cocoa powder"
Linzer tart;"1 ¼ cups unsalted butter, softened, ⅔ cup white sugar, 2 cups sifted all purpose flour, divided, 1 ¾ cups ground almonds, ⅛ teaspoon ground cinnamon, 5 tablespoons raspberry jam, ⅓ cup confectioners' sugar for decoration"
Cantonese fried rice;"1-2tablespoon vegetable oil, 1 cup finely chopped onion, 1 garlic clove, minced, 3 eggs, slightly beaten, 1-2 cup cooked meat, diced, 3 cups cooked rice, 3-4 green onions, sliced, 1 cup bean sprouts, 2-4 tablespoons low sodium soy sauce"
Garlic butter baked salmon;"6 oz salmon fillet(170 g), 4 fillets, ½ cup butter(115 g), melted, 3 cloves garlic, ½ lemon, juiced, salt, to taste, pepper, to taste, 4 cups broccoli floret(900 g), olive oil, ¼ cup parmesan cheese(30 g), fresh parsley, to garnish"
Thai basil beef;"2 tablespoons oil, 12 oz. beef (340g, sliced thinly against the grain and mixed with 1 teaspoon oil and 2 teaspoons cornstarch), 5 cloves garlic (chopped), ½ of a red bell pepper (sliced thinly), 1 small onion (thinly sliced), 2 teaspoons soy sauce, 1 teaspoon dark soy sauce, 1 teaspoon oyster sauce, 1 tablespoon fish sauce, ½ teaspoon sugar, 1 cup thai basil leaves (packed), cilantro (to garnish)"
Lemony lentil soup;"1 tablespoon olive oil, 1 medium white onion, peeled and diced, 2 medium carrots, diced, 5 cloves garlic, peeled and minced, 6 cups vegetable stock (or chicken stock), 1-1/2 cups red lentils, rinsed and picked over, 2/3 cup whole-kernel corn, 2 teaspoons ground cumin, 1 teaspoon curry powder, (optional) pinch each of saffron and cayenne, zest and juice of 1 small lemon, fine sea salt and freshly-cracked black pepper"
Vegetarian lasgane;"3 red peppers, cut into large chunks, 2 aubergines, cut into ½ cm thick slices, 8 tbsp olive oil, plus extra for the dish, 300g lasagne sheets, 750ml milk 125g mozzarella, handful cherry tomatoes, halved. For the tomato sauce: 1 tbsp olive oil, 2 onions, finely chopped, 2 garlic cloves sliced, 1 carrot, roughly chopped, 2 tbsp tomato purée, 200ml white wine, 3 chopped tomatoes,1 bunch of basil, leaves picked, For the white sauce: 85g butter, 85g plain flour, 750ml milk"
Carrot Cake;"230ml vegetable oil, plus extra for the tin, 100g natural yogurt, 4 large eggs, 1½ tsp vanilla extract, ½ orange zested, 265g self-raising flour, 335g light muscovado sugar, 2½ tsp ground cinnamon, 2½ tsp ground cinnamon, ¼ fresh nutmeg, 265g carrots (about 3),  100g sultanas or raisins, 100g walnuts or pecans roughly chopped (optional), For the icing: 100g slightly salted butter, 300g icing sugar, 100g soft cheese"  
Beef hotpot;"2 onions, 300g carrots, 1kg potatoes, 450g lean minced beef, 2 beef stock cubes, 400g can baked beans, splash of Worcestershire sauce, handful of roughly chopped parsley (optional)"
Chocolate molten cakes;"100g butter, plus extra to grease, 100g dark chocolate, chopped, 150g light brown soft sugar, 3 large eggs, ½ tsp vanilla extract, 50g plain flour, single cream to serve"
Sweet potato nachos;"3 small sweet potatoes (about 600g), 1 tbsp rapeseed oil, 400g can black beans - drained, 100g tomato salsa, 40g cheddar, 1 avocado, 1 lime juice, small bunch coriander - leaves picked and roughly chopped, ½ red onion"
Chicken korma;"1 onion - chopped, 2 garlic cloves - roughly chopped, thumb-sized piece ginger - roughly chopped, 4 tbsp korma paste, 4 skinless - boneless chicken breasts - cut into bite-sized pieces, 50g ground almonds, 4 tbsp sultanas, 400ml chicken stock, 400ml chicken stock, 150g pot 0% fat Greek yogurt, small bunch coriander -chopped"
Banana pancakes;"350g self-raising flour, 1 tsp baking powder, 2 very ripe bananas, 2 medium eggs, 1 tsp vanilla extract, 250ml whole milk, butter - for frying, To Serve:2 just ripe bananas - sliced, maple syrup (optional), pecan halves - toasted and roughly chopped (optional)"
Greek roast lamb;"1 large leg of lamb, about 3kg, 6 garlic cloves, 1 bunch oregano, zest and juice 1 lemon, 6 tbsp olive oil, 1 ½kg new potatoes, 400g can chopped tomato, large handful pitted baby kalamata olives"
Sweet potato & peanut curry;"1 tbsp coconut oil, 1 onion - chopped, 2 garlic cloves - grated, thumb-sized piece ginger - grated, 3 tbsp Thai red curry paste (check the label to make sure it’s vegetarian/ vegan), 1 tbsp smooth peanut butter, 500g sweet potato - peeled and cut into chunks, 400ml can coconut milk, 200g bag spinach, 1 lime juiced, cooked rice - to serve (optional), dry roasted peanuts - to serve (optional)"
New York cheesecake;"For the crust: 85g butter, 140g digestive biscuits - made into fine crumbs, 1 tbsp sugar - granulated or golden caster, For the cheesecake filling: 900g Philadelphia cheese or other full-fat soft cheese, 250g golden caster sugar, 3 tbsp plain flour, 1 ½ tsp vanilla extract, finely grated zest of 1 lemon (about 2 tsp), 1 ½ tsp lemon juice,3 large eggs - plus 1 yolk, 284ml carton soured cream, For the soured cream topping: 142ml carton soured cream, 1 tbsp golden caster sugar, 2 tsp lemon juice"
Thai chicken curry;"2 shallots - or 1 small onion, 1 stalk lemongrass, 1 tbsp vegetable oil, 3-4 tsp red Thai curry paste, 4 boneless and skinless chicken breasts - cut into bite-size pieces, 1 tbsp fish sauce, 1 tsp sugar - brown is best, 4 lime leaves, 400ml can coconut milk, 20g pack fresh coriander"
